Familie;familie;familii;Wir sind eine Familie. ;Noi suntem o familie. ;f;o;două;Familie;[sound:002-01.mp3]
Großvater ;bunic;bunici;;;m;un;doi;Familie;[sound:002-02.mp3]
Großmutter ;bunică;bunici;;;f;o;două;Familie;[sound:002-03.mp3]
er und sie ;el şi ea ;; ;;;;;Familie;[sound:002-04.mp3]
Vater ;tată;tați;Mein Vater ist Wolfram;Eu tatăl sunt Wolfram;m;un;doi;Familie;[sound:002-05.mp3]
Mutter ;mamă;mame;;;f;o;două;Familie;[sound:002-06.mp3]
Mädchen;fată;fete;;;f;o;două;;
Sohn ;fiu;fii;;;m;un;doi;Familie;[sound:002-08.mp3]
Tochter ;fiică;fiice;;;f;o;două;Familie;[sound:002-09.mp3]
Bruder ;frate;frați; ;;m;un;doi;Familie;[sound:002-11.mp3]
Schwester ;soră;surori;;;f;o;două;Familie;[sound:002-12.mp3]
Onkel ;unchi;unchi;;;m;un;doi;Familie;[sound:002-14.mp3]
Tante ;mătușă;mătuși;;;f;o;două;Familie;[sound:002-15.mp3]
Wir sind eine Familie. ;Noi suntem o familie. ;;;;;;;Familie;[sound:002-17.mp3]
klein;mic;;Die Familie ist nicht klein. ;Familia nu este mică.;;;;Familie;[sound:002-18.mp3]
zahlreich;numeros;;Die Familie ist groß. ;Familia este numeroasă.;;;;Familie;[sound:002-19.mp3]
Lebensmittel;aliment;alimente;Frăchte und Lebensmittel;fructe și alimente;n;un;două;Früchte und Lebensmittel;[sound:015-01.mp3]
Erdbeere;căpşună;căpșuni;Ich habe eine Erdbeere. ;Eu am o căpşună. ;f;o;două;Früchte und Lebensmittel;[sound:015-02.mp3]
Melone;pepene;pepeni;Ich habe eine Kiwi und eine Melone. ;Eu am un kiwi şi un pepene. ;m;un;doi;Früchte und Lebensmittel;[sound:015-03.mp3]
Orange;portocală;portocale;Ich habe eine Orange und eine Grapefruit. ;Eu am o portocală şi un grapefruit. ;f;o;două;Früchte und Lebensmittel;[sound:015-04.mp3]
Apfel;măr;mere;Ich habe einen Apfel und eine Mango. ;Eu am un măr şi un mango. ;m;un;doi;Früchte und Lebensmittel;[sound:015-05.mp3]
Banane;banană;banane;Ich habe eine Banane und eine Ananas. ;Eu am o banană şi un ananas. ;f;o;două;Früchte und Lebensmittel;[sound:015-06.mp3]
Obstsalat;salată de fructe;salate;Ich mache einen Obstsalat. ;Eu fac o salată de fructe. ;f;o;două;Früchte und Lebensmittel;[sound:015-07.mp3]
Toast;pâine prăjită;pâini;Ich esse einen Toast. ;Eu mănânc o pâine prăjită. ;f;o;două;Früchte und Lebensmittel;[sound:015-08.mp3]
Butter;unt;;Ich esse einen Toast mit Butter. ;Eu mănânc o pâine prăjită cu unt. ;n;un;două;Früchte und Lebensmittel;[sound:015-09.mp3]
Marmelade;gem;gemuri;Ich esse einen Toast mit Butter und Marmelade. ;Eu mănânc o pâine prăjită cu unt şi gem. ;n;un;două;Früchte und Lebensmittel;[sound:015-10.mp3]
Sandwich;sandviş;sandvișuri;Ich esse ein Sandwich. ;Eu mănânc un sandviş. ;n;un;două;Früchte und Lebensmittel;[sound:015-11.mp3]
