Familie,familie,familii,,Wir sind eine Familie. ,Noi suntem o familie. ,f,o,două,Familie
Großvater ,bunic,bunici,,,,m,un,doi,Familie
Großmutter ,bunică,bunici,,,,f,o,două,Familie
er und sie ,el şi ea ,,, ,,,,,Familie
Vater ,tată,tați,,Mein Vater ist Wolfram,Eu tatăl sunt Wolfram,m,un,doi,Familie
Mutter ,mamă,mame,,,,f,o,două,Familie
Mädchen,fată,fete,,,,f,o,două,
Sohn ,fiu,fii,,,,m,un,doi,Familie
Tochter ,fiică,fiice,,,,f,o,două,Familie
Bruder ,frate,frați,, ,,m,un,doi,Familie
Schwester ,soră,surori,,,,f,o,două,Familie
Onkel ,unchi,unchi,,,,m,un,doi,Familie
Tante ,mătușă,mătuși,,,,f,o,două,Familie
klein,mic,,,Die Familie ist nicht klein. ,Familia nu este mică.,adj,,,Familie
zahlreich,numeros,,,Die Familie ist groß. ,Familia este numeroasă.,adj,,,Familie
Lebensmittel,aliment,alimente,,Früchte und Lebensmittel,fructe și alimente,n,un,două,Früchte und Lebensmittel
Erdbeere,căpşună,căpșuni,,Ich habe eine Erdbeere. ,Eu am o căpşună. ,f,o,două,Früchte und Lebensmittel
Melone,pepene,pepeni,,Ich habe eine Kiwi und eine Melone. ,Eu am un kiwi şi un pepene. ,m,un,doi,Früchte und Lebensmittel
Orange,portocală,portocale,,Ich habe eine Orange und eine Grapefruit. ,Eu am o portocală şi un grapefruit. ,f,o,două,Früchte und Lebensmittel
Apfel,măr,mere,,Ich habe einen Apfel und eine Mango. ,Eu am un măr şi un mango. ,n,un,două,Früchte und Lebensmittel
Banane,banană,banane,,Ich habe eine Banane und eine Ananas. ,Eu am o banană şi un ananas. ,f,o,două,Früchte und Lebensmittel
Obstsalat,salată de fructe,salate,,Ich mache einen Obstsalat. ,Eu fac o salată de fructe. ,f,o,două,Früchte und Lebensmittel
Toast,pâine prăjită,pâini,,Ich esse einen Toast. ,Eu mănânc o pâine prăjită. ,f,o,două,Früchte und Lebensmittel
Butter,unt,,,Ich esse einen Toast mit Butter. ,Eu mănânc o pâine prăjită cu unt. ,n,un,două,Früchte und Lebensmittel
Marmelade,gem,gemuri,,Ich esse einen Toast mit Butter und Marmelade. ,Eu mănânc o pâine prăjită cu unt şi gem. ,n,un,două,Früchte und Lebensmittel
Sandwich,sandviş,sandvișuri,,Ich esse ein Sandwich. ,Eu mănânc un sandviş. ,n,un,două,Früchte und Lebensmittel
Margarine,margarină,margarine,,Ich esse ein Sandwich mit Margarine. ,Eu mănânc un sandviş cu margarină. ,f,o,două,Früchte und Lebensmittel
Tomate,roşie,roșii,,Ich esse ein Sandwich mit Margarine und Tomate. ,Eu mănânc un sandviş cu margarină şi roşii. ,f,o,două,Früchte und Lebensmittel
Reis,orez,,,Wir brauchen Brot und Reis. ,Noi avem nevoie de pâine şi orez. ,n,un,două,Früchte und Lebensmittel
